host_name,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,host_id
John,9,2018-10-19,0.21,6,2787
Jennifer,45,2019-05-21,0.38,2,2845
Elisabeth,0,,,1,4632
LisaRoxanne,270,2019-07-05,4.64,1,4869
Laura,9,2018-11-19,0.1,1,7192
Chris,74,2019-06-22,0.59,1,7322
Garon,49,2017-10-05,0.4,1,7356
Shunichi,430,2019-06-24,3.47,1,8967
MaryEllen,118,2017-07-21,0.99,1,7490
Ben,160,2019-06-09,1.33,4,7549
Lena,53,2019-06-22,0.43,1,7702
Kate,188,2019-06-23,1.5,1,7989
Laurie,167,2019-06-24,1.34,3,9744
Claudio,113,2019-07-05,0.91,1,11528
Alina,27,2018-10-31,0.22,1,11975
Allen & Irina,148,2019-06-29,1.2,1,15991
Jane,198,2019-06-28,1.72,1,17571
Doti,260,2019-07-01,2.12,1,18946
Adam And Charity,53,2019-06-22,4.44,1,20950
Sing,0,,,2,17985
Chaya,9,2011-12-28,0.07,1,21207
Lisel,130,2019-07-01,1.09,6,22486
Nathalie,88,2019-06-19,0.73,2,25183
Gregory,19,2019-06-23,1.37,2,25326
Claude & Sophie,0,,,1,26394
Tommi,58,2017-08-13,0.49,1,30193
Shon,108,2019-06-15,1.11,3,31374
Dana,29,2019-04-19,0.24,1,21904
Ssameer Or Trip,242,2019-06-01,2.04,3,32294
Teri,88,2019-06-14,1.42,1,32045
Andrea,197,2019-06-15,1.65,3,32169
Angela,74,2019-05-12,0.66,2,35935
Vt,0,,,1,7355
Tyrome,231,2019-06-22,1.96,2,44145
Harriet,0,,,1,45445
Edward,245,2019-06-21,2.08,2,46978
Abdul,15,2019-05-27,0.39,1,47610
Yolande,25,2018-09-30,0.23,1,47618
Cyn,81,2019-06-16,0.69,1,16800
Earl,97,2019-06-13,0.84,1,47727
Rana,11,2019-06-05,0.49,1,49670
Orestes,248,2019-07-01,2.25,1,50124
Adreinne,61,2019-05-25,0.52,1,50148
Jennifer,11,2017-01-01,0.1,1,50846
Alexander,135,2019-06-17,1.16,2,52335
JT And Tiziana,112,2019-06-16,1.01,3,54275
Joya,73,2019-07-07,0.63,1,56094
James,82,2019-05-17,0.7,1,56104
Jeanne,328,2019-06-29,2.82,1,56246
Francesca,19,2019-03-25,0.22,1,56284
Joanna,105,2019-06-22,0.9,1,56512
Bianca,19,2019-05-18,0.17,1,59023
Luiz,289,2019-06-09,2.49,2,59734
Ted,21,2019-06-29,0.3,1,60049
Cristina,42,2019-06-30,0.38,1,60252
Petra,5,2018-11-03,0.12,1,60278
D,66,2019-03-30,0.57,2,61491
Dimitri,143,2019-01-26,1.33,2,63588
Patricia,27,2017-09-30,0.23,2,63613
Mark,191,2019-05-16,1.65,1,63924
Sara,4,2017-09-24,0.16,1,64056
Reka,338,2019-07-01,4.72,2,64442
Daniel,148,2019-06-23,1.4,1,64522
Casey,106,2019-06-21,1.26,2,4396
Robin,190,2019-06-23,1.64,1,65837
Anna,49,2018-05-14,0.43,1,66035
Enzo,23,2019-06-01,0.43,1,66243
Tye And Etienne,49,2019-06-18,1.6,2,68428
George,105,2019-06-26,0.92,1,68599
Josh,21,2019-01-02,0.2,1,69829
Victoria,142,2019-07-06,1.5,1,69942
Justin,25,2019-05-31,0.22,1,70091
Blaise,143,2019-06-16,1.28,1,71512
DAVID And RICK,167,2019-05-28,1.65,1,71876
Lulú,61,2019-04-22,0.54,4,72014
Sybilla,54,2019-03-23,0.49,1,73051
JoLynn,70,2019-06-30,0.62,1,73128
Gaia,16,2019-06-15,0.15,1,73469
Ana,94,2019-04-08,0.84,1,44263
Maggie,25,2016-08-04,0.24,1,74303
Starlee,61,2018-08-09,0.53,1,74857
Edward,194,2019-06-30,1.73,1,62407
Pas,2,2016-02-14,0.05,1,76627
Augustin,24,2019-05-26,0.28,1,961342
Sean & Lynette,166,2019-06-27,3.4,1,78460
Erica,16,2019-05-31,0.2,6,51038
Tracy,21,2019-05-21,0.3,1,79070
Christiana,168,2018-07-22,1.57,1,79402
Dana,81,2019-07-07,0.71,1,42032
Elliott,1,2018-10-09,0.11,1,82685
Olan,30,2019-05-01,0.27,2,83257
Shelly,139,2018-10-28,1.23,2,87773
Annette,233,2019-06-24,2.09,3,11481
Meka,68,2012-11-01,0.6,1,63318
Ann,46,2019-05-18,0.55,2,93790
Seth,335,2019-05-29,3.02,1,97219
Brenda,88,2018-11-02,0.79,1,97797
Erik,29,2018-05-26,0.4,1,105538
Dena,170,2019-06-23,1.61,1,107628
Jessica,19,2017-03-17,0.2,1,109589
Sally,12,2017-12-11,0.13,1,112793
Dani,467,2018-12-30,4.22,2,42273
Bruce,7,2017-08-09,0.06,4,72062
Nimo,38,2015-12-02,0.38,1,115157
Alexandra,324,2019-06-23,3.01,1,115307
Stacy,27,2019-04-27,0.27,1,115560
Evelyn,354,2019-05-20,3.2,3,118971
Emma,195,2019-07-01,2.03,1,119510
Vero,16,2018-12-30,0.24,2,119588
Sylvie,13,2019-06-26,0.12,1,119900
Jen,25,2011-12-10,0.23,1,120223
Kay,9,2018-10-05,0.08,1,65091
Jo,9,2011-09-18,0.08,1,6197784
Lisa,21,2017-08-15,0.19,1,124352
Fernando And Lenin,36,2017-08-17,0.33,1,124797
Laurine,155,2019-06-20,1.42,3,126607
Chris,260,2019-07-03,2.35,1,127608
Uli,73,2019-06-25,0.66,1,125857
Sol,193,2019-05-20,1.86,1,129352
Cs,32,2019-06-14,0.29,1,120335
Lara,50,2019-05-26,0.45,3,117287
Tom,26,2019-07-01,0.25,1,135619
Sunder,2,2019-01-01,0.02,1,137292
Waldemar,426,2019-06-24,3.89,3,137814
Khem,227,2019-06-23,2.09,2,137974
Sahr,84,2019-07-01,0.77,3,116599
Ali+Scott,3,2017-07-30,0.03,1,138579
Elisabeth,10,2018-06-11,0.1,1,139612
Sarah,4,2016-04-24,0.04,1,139874
Fredah,1,2011-09-19,0.01,1,140025
Katherine,11,2019-07-02,0.11,1,142833
Ming,240,2019-06-17,2.19,1,143027
Paula,30,2019-06-17,0.28,1,143048
Obed,27,2019-06-29,1.05,5,149929
Karen,79,2019-06-22,0.74,1,120291
Michael,9,2013-05-10,0.09,1,62165
White,155,2019-06-13,1.61,1,142684
Paz,4,2018-08-27,0.05,1,137432
Irene,34,2017-05-29,0.32,1,157798
Karene,134,2019-03-31,1.24,1,158284
Viviana,27,2018-12-27,0.25,1,159370
Sara,126,2019-06-26,1.16,2,92788
Sarah,23,2018-12-31,0.27,1,165789
Marie,234,2019-06-08,2.6,2,168417
Gus,202,2019-05-28,1.86,2,168525
Myung,28,2019-04-12,0.26,1,110506
Renée,309,2019-06-22,2.86,2,170510
Henry,14,2011-04-25,0.13,1,171851
Sylvia,4,2016-09-23,0.08,1,174025
Syl,80,2019-07-06,2.17,1,180083
Lorenzo,2,2015-11-02,0.04,1,181167
Newyorkroomwithaview,166,2019-06-13,1.66,1,185978
Tessa,47,2019-06-19,0.94,1,177536
Waundell,219,2019-07-04,2.04,3,190409
Young,193,2016-07-06,1.78,1,193360
Coral,114,2019-06-20,1.06,1,193722
Carol,213,2019-06-24,2.0,2,181376
Sara,86,2019-06-01,0.8,1,193637
Myrna,38,2016-04-20,0.36,1,201297
Campbell,18,2018-12-17,1.79,1,202249
Doug,206,2019-06-30,1.92,2,67778
Mark,10,2019-05-12,0.11,5,204539
Rahul,122,2019-05-14,1.18,2,867225
Miyoung,33,2019-04-08,0.58,1,204724
Monica,52,2019-06-05,0.5,1,8198
Marylyn,126,2019-05-19,1.17,4,209460
Kathleen R.,51,2019-06-24,0.48,3,210746
Teresa,199,2019-06-24,1.85,1,212722
Robert,30,2012-09-03,0.29,1,214148
Alex,3,2015-07-17,0.03,1,214287
Claudia,41,2019-06-26,0.38,1,218404
Shane,109,2019-06-15,1.04,1,221873
Jessica,0,,,2,236421
Erina,285,2019-06-22,2.69,1,236655
Lee,375,2019-06-18,3.52,1,237329
Jullett,52,2019-05-20,0.49,2,27848
Marlaine,10,2019-07-01,1.01,1,240360
Charlotte,11,2017-11-13,0.48,1,247432
Bob,358,2019-06-20,3.44,2,10889
Anka,10,2014-01-07,0.09,1,255583
Douglas,0,,,1,253385
Wayne,104,2019-06-22,1.0,5,256161
Jenny,204,2019-06-23,1.92,1,258164
Paul,253,2019-07-02,3.04,1,260709
Tami,23,2019-07-01,0.22,1,262138
Jason,115,2018-12-05,1.17,1,88209
Pete,129,2019-05-19,1.22,1,263414
Sally,37,2018-12-31,0.35,1,264928
Leonardo,204,2019-07-01,2.04,1,267593
Alex,69,2019-06-13,0.65,1,268014
Vasili,17,2019-06-17,0.16,1,272006
S.M.,222,2019-06-24,2.12,1,199392
Ori,205,2019-06-23,1.96,1,239208
Ana,94,2019-06-09,0.96,1,274557
I,7,2019-05-24,0.07,1,275459
R,108,2019-06-30,1.09,1,275578
Simon,222,2019-06-26,2.1,2,276291
Agnes,458,2019-07-03,4.58,2,277379
Linda,21,2019-05-17,0.26,1,277394
Dave,17,2019-05-08,0.3,1,279797
Drica,41,2019-01-02,0.39,1,282927
Betty,69,2019-05-19,0.67,1,274782
Ricardo & Ashlie,18,2019-07-01,0.18,2,186084
Leslie,82,2016-01-05,0.78,1,288031
Harrison,94,2019-06-23,0.99,1,289653
Jessica,10,2019-05-11,0.1,1,99212
Blanca,183,2018-09-29,1.83,2,292204
Cynthia,1,2018-10-07,0.11,1,249372
Mich,127,2019-06-20,1.22,1,292630
Rachel,4,2017-08-25,0.04,1,293394
Greta,21,2015-12-12,0.2,1,295760
Frank,35,2017-07-27,0.34,1,291112
Bethania,10,2019-06-01,2.21,2,297176
Tunji,171,2019-06-23,1.8,2,297769
Anna/Fonzy,92,2019-04-30,0.9,1,23619
Colette&Sean,238,2019-06-14,2.3,1,281764
Brie,56,2019-05-26,0.58,1,303882
Sheila,111,2019-06-22,2.13,1,197755
Lissette,193,2019-06-25,1.85,6,303939
Olivia,185,2019-05-24,1.78,2,306545
Daniel,62,2019-06-21,0.7,2,306605
Maya,124,2019-06-16,1.22,3,306739
Scott,181,2019-06-23,1.77,2,308875
Dennis & Naoko,441,2019-06-24,4.5,1,307962
Antonín,45,2019-05-16,0.46,2,308652
Emily,9,2016-08-29,0.09,2,310458
Carol Gloria,0,,,7,295128
Vie,38,2019-06-27,0.5,13,310670
Helene,36,2018-08-19,0.41,4,311286
Paula,0,,,2,312288
Kristian & Di,14,2019-01-07,0.14,4,312722
David,0,,,1,146944
Niya,279,2019-06-24,2.69,1,313317
Debbie,50,2019-05-26,3.55,1,314256
Anthony,227,2019-06-27,2.27,2,314582
Tilly,1,2019-01-02,0.16,1,7310
Claire,210,2019-07-06,2.1,1,317809
Juhli,64,2019-01-05,0.67,1,319092
Marlon,0,,,1,320422
Mary D,5,2019-01-03,0.15,1,320450
Valerie,49,2019-06-29,0.48,1,320761
Larissa,132,2019-07-07,1.27,1,320538
Eric,20,2019-01-02,0.26,1,321756
Jessica,11,2013-05-02,0.11,1,321934
Melissa,51,2019-07-01,0.57,1,322884
Alex,15,2019-06-30,0.15,5,322716
Samir,67,2019-06-25,1.31,1,324460
Tony,109,2019-06-23,1.11,3,314941
Luis Fernando,9,2019-02-16,0.11,1,325389
Henning,187,2019-06-23,1.87,1,136227
Stefano,214,2019-06-23,2.08,2,327673
Jana,69,2019-07-01,0.79,2,329436
Per,22,2019-06-15,0.26,1,101597
Adrienne,56,2019-05-06,0.56,1,330347
Elise,93,2019-06-22,0.93,1,332189
Deda,104,2019-06-25,1.05,2,323517
Share,64,2018-07-06,0.68,1,338454
Naimah,127,2019-06-24,1.25,2,240427
Violetta,30,2019-06-13,0.32,1,342054
Jenna,106,2019-06-27,1.34,3,282655
Jason,6,2016-11-13,0.1,1,343250
Alicia,191,2019-06-20,1.88,1,281229
Silvia,48,2019-06-11,0.55,1,352168
Joab,47,2019-06-29,0.49,1,155689
Mary And Geoff,120,2019-06-30,1.27,1,353965
Eyal,52,2019-01-10,0.63,1,354330
Kurt,32,2019-05-24,0.43,2,361855
Jennifer,43,2019-06-17,0.42,1,363834
Ruperto,39,2019-06-25,0.44,1,364955
Ben,50,2014-05-13,0.5,1,365153
Thai,4,2019-01-02,0.35,2,369015
Hudson,38,2019-02-15,0.39,1,373085
Vanessa,29,2019-06-16,0.36,1,340692
Daniel,59,2019-06-23,0.6,1,211877
Patty,68,2019-06-07,0.67,2,389924
Amir,26,2015-11-25,0.27,3,331328
G & S,31,2012-08-22,0.31,1,391325
Nazleen,198,2019-05-31,2.01,1,265109
Allison,1,2011-03-28,0.01,1,394752
Patricia,286,2019-06-27,2.81,1,401696
The Box House Hotel,36,2019-07-01,0.36,28,417504
Moss Owen,36,2019-06-14,0.36,1,134355
Nancy,6,2016-02-05,0.1,1,422561
Bliss,14,2019-04-20,0.3,1,425506
Pam,76,2019-03-31,0.76,6,430188
Jennifer,182,2019-07-04,1.81,1,434987
Ellis,34,2018-09-25,0.51,2,438133
Christopher,66,2016-09-16,0.68,2,448312
Sarah,240,2019-06-06,2.4,1,449787
Ruthven,46,2019-07-02,1.07,1,451545
Julian,228,2019-06-10,2.27,1,453519
Leslie,5,2018-09-03,0.05,1,454756
Sophie,8,2018-08-26,0.11,1,456638
Yvette,33,2019-01-02,0.33,1,410094
Famous,5,2018-07-22,0.05,1,459054
Kyle,388,2019-06-26,3.88,1,462776
Ange,223,2019-06-23,2.22,2,464506
T,151,2019-06-24,1.51,2,327900
Savannah,42,2019-07-06,1.21,2,35375
Sadatu,0,,,1,503800
Jason,370,2019-07-05,3.74,1,478395
Keishera,104,2019-06-21,1.04,1,473113
Tessa,13,2016-07-18,0.13,1,509341
Eduardo,4,2018-12-26,0.07,1,509918
Peter Michael,19,2018-06-11,0.19,1,520279
Liz And Melissa,131,2019-05-26,1.31,2,522065
Wanda,15,2019-05-01,0.15,1,522164
Giorgio,136,2019-06-17,1.37,1,523218
,43,2019-07-08,0.45,1,526653
Mi,98,2019-06-28,0.99,1,526805
Lee And Tara,31,2019-03-01,0.31,1,530032
Chas,45,2018-01-01,0.46,1,178043
Ade,124,2019-06-26,1.76,1,465278
Jason,166,2019-05-27,1.68,2,251176
Michelle,13,2015-09-21,0.13,1,547386
Alicia,380,2019-06-26,3.83,2,551055
Olivia,86,2019-06-16,0.87,1,552679
Kai,49,2019-06-19,0.56,1,3088389
Driss,54,2019-07-03,0.57,1,568568
Marine,3,2013-01-01,0.03,1,572527
Kelli,1,2016-01-02,0.02,1,573316
Olivia,56,2018-12-28,0.57,1,571952
Natalia,116,2019-05-11,1.17,1,275582
Susi,27,2019-05-19,0.28,2,579495
Andrey,39,2018-09-24,0.4,1,582598
