host_id,host_name,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count
2787,John,9,2018-10-19,0.21,6
2845,Jennifer,45,2019-05-21,0.38,2
4632,Elisabeth,0,N/A,0.0,1
4869,LisaRoxanne,270,2019-07-05,4.64,1
7192,Laura,9,2018-11-19,0.1,1
7322,Chris,74,2019-06-22,0.59,1
7356,Garon,49,2017-10-05,0.4,1
8967,Shunichi,430,2019-06-24,3.47,1
7490,MaryEllen,118,2017-07-21,0.99,1
7549,Ben,160,2019-06-09,1.33,4
7702,Lena,53,2019-06-22,0.43,1
7989,Kate,188,2019-06-23,1.5,1
9744,Laurie,167,2019-06-24,1.34,3
11528,Claudio,113,2019-07-05,0.91,1
11975,Alina,27,2018-10-31,0.22,1
15991,Allen & Irina,148,2019-06-29,1.2,1
17571,Jane,198,2019-06-28,1.72,1
18946,Doti,260,2019-07-01,2.12,1
20950,Adam And Charity,53,2019-06-22,4.44,1
17985,Sing,0,N/A,0.0,2
21207,Chaya,9,2011-12-28,0.07,1
22486,Lisel,130,2019-07-01,1.09,6
25183,Nathalie,88,2019-06-19,0.73,2
25326,Gregory,19,2019-06-23,1.37,2
26394,Claude & Sophie,0,N/A,0.0,1
30193,Tommi,58,2017-08-13,0.49,1
31374,Shon,108,2019-06-15,1.11,3
21904,Dana,29,2019-04-19,0.24,1
32294,Ssameer Or Trip,242,2019-06-01,2.04,3
32045,Teri,88,2019-06-14,1.42,1
32169,Andrea,197,2019-06-15,1.65,3
35935,Angela,74,2019-05-12,0.66,2
7355,Vt,0,N/A,0.0,1
44145,Tyrome,231,2019-06-22,1.96,2
45445,Harriet,0,N/A,0.0,1
46978,Edward,245,2019-06-21,2.08,2
47610,Abdul,15,2019-05-27,0.39,1
47618,Yolande,25,2018-09-30,0.23,1
16800,Cyn,81,2019-06-16,0.69,1
47727,Earl,97,2019-06-13,0.84,1
49670,Rana,11,2019-06-05,0.49,1
50124,Orestes,248,2019-07-01,2.25,1
50148,Adreinne,61,2019-05-25,0.52,1
50846,Jennifer,11,2017-01-01,0.1,1
52335,Alexander,135,2019-06-17,1.16,2
54275,JT And Tiziana,112,2019-06-16,1.01,3
56094,Joya,73,2019-07-07,0.63,1
56104,James,82,2019-05-17,0.7,1
56246,Jeanne,328,2019-06-29,2.82,1
56284,Francesca,19,2019-03-25,0.22,1
56512,Joanna,105,2019-06-22,0.9,1
59023,Bianca,19,2019-05-18,0.17,1
59734,Luiz,289,2019-06-09,2.49,2
60049,Ted,21,2019-06-29,0.3,1
60252,Cristina,42,2019-06-30,0.38,1
60278,Petra,5,2018-11-03,0.12,1
61491,D,66,2019-03-30,0.57,2
63588,Dimitri,143,2019-01-26,1.33,2
63613,Patricia,27,2017-09-30,0.23,2
63924,Mark,191,2019-05-16,1.65,1
64056,Sara,4,2017-09-24,0.16,1
64442,Reka,338,2019-07-01,4.72,2
64522,Daniel,148,2019-06-23,1.4,1
4396,Casey,106,2019-06-21,1.26,2
65837,Robin,190,2019-06-23,1.64,1
66035,Anna,49,2018-05-14,0.43,1
66243,Enzo,23,2019-06-01,0.43,1
68428,Tye And Etienne,49,2019-06-18,1.6,2
68599,George,105,2019-06-26,0.92,1
69829,Josh,21,2019-01-02,0.2,1
69942,Victoria,142,2019-07-06,1.5,1
70091,Justin,25,2019-05-31,0.22,1
71512,Blaise,143,2019-06-16,1.28,1
71876,DAVID And RICK,167,2019-05-28,1.65,1
72014,Lulú,61,2019-04-22,0.54,4
73051,Sybilla,54,2019-03-23,0.49,1
73128,JoLynn,70,2019-06-30,0.62,1
73469,Gaia,16,2019-06-15,0.15,1
44263,Ana,94,2019-04-08,0.84,1
74303,Maggie,25,2016-08-04,0.24,1
74857,Starlee,61,2018-08-09,0.53,1
62407,Edward,194,2019-06-30,1.73,1
76627,Pas,2,2016-02-14,0.05,1
961342,Augustin,24,2019-05-26,0.28,1
78460,Sean & Lynette,166,2019-06-27,3.4,1
51038,Erica,16,2019-05-31,0.2,6
79070,Tracy,21,2019-05-21,0.3,1
79402,Christiana,168,2018-07-22,1.57,1
42032,Dana,81,2019-07-07,0.71,1
82685,Elliott,1,2018-10-09,0.11,1
83257,Olan,30,2019-05-01,0.27,2
87773,Shelly,139,2018-10-28,1.23,2
11481,Annette,233,2019-06-24,2.09,3
63318,Meka,68,2012-11-01,0.6,1
93790,Ann,46,2019-05-18,0.55,2
97219,Seth,335,2019-05-29,3.02,1
97797,Brenda,88,2018-11-02,0.79,1
105538,Erik,29,2018-05-26,0.4,1
107628,Dena,170,2019-06-23,1.61,1
109589,Jessica,19,2017-03-17,0.2,1
112793,Sally,12,2017-12-11,0.13,1
42273,Dani,467,2018-12-30,4.22,2
72062,Bruce,7,2017-08-09,0.06,4
115157,Nimo,38,2015-12-02,0.38,1
115307,Alexandra,324,2019-06-23,3.01,1
115560,Stacy,27,2019-04-27,0.27,1
118971,Evelyn,354,2019-05-20,3.2,3
119510,Emma,195,2019-07-01,2.03,1
119588,Vero,16,2018-12-30,0.24,2
119900,Sylvie,13,2019-06-26,0.12,1
120223,Jen,25,2011-12-10,0.23,1
65091,Kay,9,2018-10-05,0.08,1
6197784,Jo,9,2011-09-18,0.08,1
124352,Lisa,21,2017-08-15,0.19,1
124797,Fernando And Lenin,36,2017-08-17,0.33,1
126607,Laurine,155,2019-06-20,1.42,3
127608,Chris,260,2019-07-03,2.35,1
125857,Uli,73,2019-06-25,0.66,1
129352,Sol,193,2019-05-20,1.86,1
120335,Cs,32,2019-06-14,0.29,1
117287,Lara,50,2019-05-26,0.45,3
135619,Tom,26,2019-07-01,0.25,1
137292,Sunder,2,2019-01-01,0.02,1
137814,Waldemar,426,2019-06-24,3.89,3
137974,Khem,227,2019-06-23,2.09,2
116599,Sahr,84,2019-07-01,0.77,3
138579,Ali+Scott,3,2017-07-30,0.03,1
139612,Elisabeth,10,2018-06-11,0.1,1
139874,Sarah,4,2016-04-24,0.04,1
140025,Fredah,1,2011-09-19,0.01,1
142833,Katherine,11,2019-07-02,0.11,1
143027,Ming,240,2019-06-17,2.19,1
143048,Paula,30,2019-06-17,0.28,1
149929,Obed,27,2019-06-29,1.05,5
120291,Karen,79,2019-06-22,0.74,1
62165,Michael,9,2013-05-10,0.09,1
142684,White,155,2019-06-13,1.61,1
137432,Paz,4,2018-08-27,0.05,1
157798,Irene,34,2017-05-29,0.32,1
158284,Karene,134,2019-03-31,1.24,1
159370,Viviana,27,2018-12-27,0.25,1
92788,Sara,126,2019-06-26,1.16,2
165789,Sarah,23,2018-12-31,0.27,1
168417,Marie,234,2019-06-08,2.6,2
168525,Gus,202,2019-05-28,1.86,2
110506,Myung,28,2019-04-12,0.26,1
170510,Renée,309,2019-06-22,2.86,2
171851,Henry,14,2011-04-25,0.13,1
174025,Sylvia,4,2016-09-23,0.08,1
180083,Syl,80,2019-07-06,2.17,1
181167,Lorenzo,2,2015-11-02,0.04,1
185978,Newyorkroomwithaview,166,2019-06-13,1.66,1
177536,Tessa,47,2019-06-19,0.94,1
190409,Waundell,219,2019-07-04,2.04,3
193360,Young,193,2016-07-06,1.78,1
193722,Coral,114,2019-06-20,1.06,1
181376,Carol,213,2019-06-24,2.0,2
193637,Sara,86,2019-06-01,0.8,1
201297,Myrna,38,2016-04-20,0.36,1
202249,Campbell,18,2018-12-17,1.79,1
67778,Doug,206,2019-06-30,1.92,2
204539,Mark,10,2019-05-12,0.11,5
867225,Rahul,122,2019-05-14,1.18,2
204724,Miyoung,33,2019-04-08,0.58,1
8198,Monica,52,2019-06-05,0.5,1
209460,Marylyn,126,2019-05-19,1.17,4
210746,Kathleen R.,51,2019-06-24,0.48,3
212722,Teresa,199,2019-06-24,1.85,1
214148,Robert,30,2012-09-03,0.29,1
214287,Alex,3,2015-07-17,0.03,1
218404,Claudia,41,2019-06-26,0.38,1
221873,Shane,109,2019-06-15,1.04,1
236421,Jessica,0,N/A,0.0,2
236655,Erina,285,2019-06-22,2.69,1
237329,Lee,375,2019-06-18,3.52,1
27848,Jullett,52,2019-05-20,0.49,2
240360,Marlaine,10,2019-07-01,1.01,1
247432,Charlotte,11,2017-11-13,0.48,1
10889,Bob,358,2019-06-20,3.44,2
255583,Anka,10,2014-01-07,0.09,1
253385,Douglas,0,N/A,0.0,1
256161,Wayne,104,2019-06-22,1.0,5
258164,Jenny,204,2019-06-23,1.92,1
260709,Paul,253,2019-07-02,3.04,1
262138,Tami,23,2019-07-01,0.22,1
88209,Jason,115,2018-12-05,1.17,1
263414,Pete,129,2019-05-19,1.22,1
264928,Sally,37,2018-12-31,0.35,1
267593,Leonardo,204,2019-07-01,2.04,1
268014,Alex,69,2019-06-13,0.65,1
272006,Vasili,17,2019-06-17,0.16,1
199392,S.M.,222,2019-06-24,2.12,1
239208,Ori,205,2019-06-23,1.96,1
274557,Ana,94,2019-06-09,0.96,1
275459,I,7,2019-05-24,0.07,1
275578,R,108,2019-06-30,1.09,1
276291,Simon,222,2019-06-26,2.1,2
277379,Agnes,458,2019-07-03,4.58,2
277394,Linda,21,2019-05-17,0.26,1
279797,Dave,17,2019-05-08,0.3,1
282927,Drica,41,2019-01-02,0.39,1
274782,Betty,69,2019-05-19,0.67,1
186084,Ricardo & Ashlie,18,2019-07-01,0.18,2
288031,Leslie,82,2016-01-05,0.78,1
289653,Harrison,94,2019-06-23,0.99,1
99212,Jessica,10,2019-05-11,0.1,1
292204,Blanca,183,2018-09-29,1.83,2
249372,Cynthia,1,2018-10-07,0.11,1
292630,Mich,127,2019-06-20,1.22,1
293394,Rachel,4,2017-08-25,0.04,1
295760,Greta,21,2015-12-12,0.2,1
291112,Frank,35,2017-07-27,0.34,1
297176,Bethania,10,2019-06-01,2.21,2
297769,Tunji,171,2019-06-23,1.8,2
23619,Anna/Fonzy,92,2019-04-30,0.9,1
281764,Colette&Sean,238,2019-06-14,2.3,1
303882,Brie,56,2019-05-26,0.58,1
197755,Sheila,111,2019-06-22,2.13,1
303939,Lissette,193,2019-06-25,1.85,6
306545,Olivia,185,2019-05-24,1.78,2
306605,Daniel,62,2019-06-21,0.7,2
306739,Maya,124,2019-06-16,1.22,3
308875,Scott,181,2019-06-23,1.77,2
307962,Dennis & Naoko,441,2019-06-24,4.5,1
308652,Antonín,45,2019-05-16,0.46,2
310458,Emily,9,2016-08-29,0.09,2
295128,Carol Gloria,0,N/A,0.0,7
310670,Vie,38,2019-06-27,0.5,13
311286,Helene,36,2018-08-19,0.41,4
312288,Paula,0,N/A,0.0,2
312722,Kristian & Di,14,2019-01-07,0.14,4
146944,David,0,N/A,0.0,1
313317,Niya,279,2019-06-24,2.69,1
314256,Debbie,50,2019-05-26,3.55,1
314582,Anthony,227,2019-06-27,2.27,2
7310,Tilly,1,2019-01-02,0.16,1
317809,Claire,210,2019-07-06,2.1,1
319092,Juhli,64,2019-01-05,0.67,1
320422,Marlon,0,N/A,0.0,1
320450,Mary D,5,2019-01-03,0.15,1
320761,Valerie,49,2019-06-29,0.48,1
320538,Larissa,132,2019-07-07,1.27,1
321756,Eric,20,2019-01-02,0.26,1
321934,Jessica,11,2013-05-02,0.11,1
322884,Melissa,51,2019-07-01,0.57,1
322716,Alex,15,2019-06-30,0.15,5
324460,Samir,67,2019-06-25,1.31,1
314941,Tony,109,2019-06-23,1.11,3
325389,Luis Fernando,9,2019-02-16,0.11,1
136227,Henning,187,2019-06-23,1.87,1
327673,Stefano,214,2019-06-23,2.08,2
329436,Jana,69,2019-07-01,0.79,2
101597,Per,22,2019-06-15,0.26,1
330347,Adrienne,56,2019-05-06,0.56,1
332189,Elise,93,2019-06-22,0.93,1
323517,Deda,104,2019-06-25,1.05,2
338454,Share,64,2018-07-06,0.68,1
240427,Naimah,127,2019-06-24,1.25,2
342054,Violetta,30,2019-06-13,0.32,1
282655,Jenna,106,2019-06-27,1.34,3
343250,Jason,6,2016-11-13,0.1,1
281229,Alicia,191,2019-06-20,1.88,1
352168,Silvia,48,2019-06-11,0.55,1
155689,Joab,47,2019-06-29,0.49,1
353965,Mary And Geoff,120,2019-06-30,1.27,1
354330,Eyal,52,2019-01-10,0.63,1
361855,Kurt,32,2019-05-24,0.43,2
363834,Jennifer,43,2019-06-17,0.42,1
364955,Ruperto,39,2019-06-25,0.44,1
365153,Ben,50,2014-05-13,0.5,1
369015,Thai,4,2019-01-02,0.35,2
373085,Hudson,38,2019-02-15,0.39,1
340692,Vanessa,29,2019-06-16,0.36,1
211877,Daniel,59,2019-06-23,0.6,1
389924,Patty,68,2019-06-07,0.67,2
331328,Amir,26,2015-11-25,0.27,3
391325,G & S,31,2012-08-22,0.31,1
265109,Nazleen,198,2019-05-31,2.01,1
394752,Allison,1,2011-03-28,0.01,1
401696,Patricia,286,2019-06-27,2.81,1
417504,The Box House Hotel,36,2019-07-01,0.36,28
134355,Moss Owen,36,2019-06-14,0.36,1
422561,Nancy,6,2016-02-05,0.1,1
425506,Bliss,14,2019-04-20,0.3,1
430188,Pam,76,2019-03-31,0.76,6
434987,Jennifer,182,2019-07-04,1.81,1
438133,Ellis,34,2018-09-25,0.51,2
448312,Christopher,66,2016-09-16,0.68,2
449787,Sarah,240,2019-06-06,2.4,1
451545,Ruthven,46,2019-07-02,1.07,1
453519,Julian,228,2019-06-10,2.27,1
454756,Leslie,5,2018-09-03,0.05,1
456638,Sophie,8,2018-08-26,0.11,1
410094,Yvette,33,2019-01-02,0.33,1
459054,Famous,5,2018-07-22,0.05,1
462776,Kyle,388,2019-06-26,3.88,1
464506,Ange,223,2019-06-23,2.22,2
327900,T,151,2019-06-24,1.51,2
35375,Savannah,42,2019-07-06,1.21,2
503800,Sadatu,0,N/A,0.0,1
478395,Jason,370,2019-07-05,3.74,1
473113,Keishera,104,2019-06-21,1.04,1
509341,Tessa,13,2016-07-18,0.13,1
509918,Eduardo,4,2018-12-26,0.07,1
520279,Peter Michael,19,2018-06-11,0.19,1
522065,Liz And Melissa,131,2019-05-26,1.31,2
522164,Wanda,15,2019-05-01,0.15,1
523218,Giorgio,136,2019-06-17,1.37,1
526653,,43,2019-07-08,0.45,1
526805,Mi,98,2019-06-28,0.99,1
530032,Lee And Tara,31,2019-03-01,0.31,1
178043,Chas,45,2018-01-01,0.46,1
465278,Ade,124,2019-06-26,1.76,1
251176,Jason,166,2019-05-27,1.68,2
547386,Michelle,13,2015-09-21,0.13,1
551055,Alicia,380,2019-06-26,3.83,2
552679,Olivia,86,2019-06-16,0.87,1
3088389,Kai,49,2019-06-19,0.56,1
568568,Driss,54,2019-07-03,0.57,1
572527,Marine,3,2013-01-01,0.03,1
573316,Kelli,1,2016-01-02,0.02,1
571952,Olivia,56,2018-12-28,0.57,1
275582,Natalia,116,2019-05-11,1.17,1
579495,Susi,27,2019-05-19,0.28,2
582598,Andrey,39,2018-09-24,0.4,1
567187,Jane,35,2019-06-01,0.35,1
127772,Will,320,2019-06-23,3.23,1
585166,Lilly,30,2019-06-16,0.32,1
