listing_id,host_id,neighbourhood,listing_name,room_type,price,minimum_nights,availability_365
2539,2787,Kensington,Clean & quiet apt home by the park,Private room,149,1,365
2595,2845,Midtown,Skylit Midtown Castle,Entire home/apt,225,1,355
3647,4632,Harlem,THE VILLAGE OF HARLEM....NEW YORK !,Private room,150,3,365
3831,4869,Clinton Hill,Cozy Entire Floor of Brownstone,Entire home/apt,89,1,194
5022,7192,East Harlem,Entire Apt: Spacious Studio/Loft by central park,Entire home/apt,80,10,0
5099,7322,Murray Hill,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,200,3,129
5121,7356,Bedford-Stuyvesant,BlissArtsSpace!,Private room,60,45,0
5178,8967,Hell's Kitchen,Large Furnished Room Near B'way ,Private room,79,2,220
5203,7490,Upper West Side,Cozy Clean Guest Room - Family Apt,Private room,79,2,0
5238,7549,Chinatown,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,150,1,188
5295,7702,Upper West Side,Beautiful 1br on Upper West Side,Entire home/apt,135,5,6
5441,7989,Hell's Kitchen,Central Manhattan/near Broadway,Private room,85,2,39
5803,9744,South Slope,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,89,4,314
6021,11528,Upper West Side,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,85,2,333
6090,11975,West Village,West Village Nest - Superhost,Entire home/apt,120,90,0
6848,15991,Williamsburg,Only 2 stops to Manhattan studio,Entire home/apt,140,2,46
7097,17571,Fort Greene,Perfect for Your Parents + Garden,Entire home/apt,215,2,321
7322,18946,Chelsea,Chelsea Perfect,Private room,140,1,12
7726,20950,Crown Heights,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,99,3,21
7750,17985,East Harlem,Huge 2 BR Upper East  Cental Park,Entire home/apt,190,7,249
7801,21207,Williamsburg,Sweet and Spacious Brooklyn Loft,Entire home/apt,299,3,0
8024,22486,Park Slope,CBG CtyBGd HelpsHaiti rm#1:1-4,Private room,130,2,347
8025,22486,Park Slope,CBG Helps Haiti Room#2.5,Private room,80,1,364
8110,22486,Park Slope,CBG Helps Haiti Rm #2,Private room,110,2,304
8490,25183,Bedford-Stuyvesant,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,120,2,233
8505,25326,Windsor Terrace,Sunny Bedroom Across Prospect Park,Private room,60,1,85
8700,26394,Inwood,Magnifique Suite au N de Manhattan - vue Cloitres,Private room,80,4,0
9357,30193,Hell's Kitchen,Midtown Pied-a-terre,Entire home/apt,150,10,75
9518,31374,Inwood,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private room,44,3,311
9657,21904,East Village,Modern 1 BR / NYC / EAST VILLAGE,Entire home/apt,180,14,67
9668,32294,Harlem,front room/double bed,Private room,50,3,355
9704,32045,Harlem,Spacious 1 bedroom in luxe building,Private room,52,2,255
9782,32169,Greenpoint,Loft in Williamsburg Area w/ Roof,Private room,55,4,284
9783,32294,Harlem,back room/bunk beds,Private room,50,3,359
10452,35935,Bedford-Stuyvesant,Large B&B Style rooms,Private room,70,1,269
10962,9744,South Slope,"Lovely room 2 & garden; Best area, Legal rental",Private room,89,4,340
11452,7355,Bedford-Stuyvesant,Clean and Quiet in Brooklyn,Private room,35,60,365
11708,44145,Bushwick,Cute apt in artist's home,Entire home/apt,85,2,22
11943,45445,Flatbush,Country space in the city,Private room,150,1,365
12048,7549,Lower East Side,LowerEastSide apt share shortterm 1,Shared room,40,1,188
12192,46978,East Village,ENJOY Downtown NYC!,Private room,68,2,96
12299,47610,South Slope,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,120,3,345
12303,47618,Fort Greene,1bdr w private bath. in lofty apt,Private room,120,7,311
12318,16800,Upper West Side,West Side Retreat,Private room,135,4,273
12343,47727,Harlem,BEST BET IN HARLEM,Entire home/apt,150,7,309
12627,49670,Prospect-Lefferts Gardens,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,150,29,95
12937,50124,Long Island City,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private room,130,3,215
12940,50148,Bedford-Stuyvesant,Charming Brownstone 3 - Near PRATT,Entire home/apt,110,7,265
13050,50846,Bedford-Stuyvesant,bright and stylish duplex,Entire home/apt,115,3,0
13394,52335,Fort Greene,Fort Greene brownstone ,Private room,80,3,192
13808,54275,Bedford-Stuyvesant,Blue Room for 2 in Brownstone for $1350 monthly,Private room,80,1,251
14287,56094,Upper West Side,Cozy 1BD on Central Park West in New York City,Entire home/apt,151,2,302
14290,56104,Williamsburg,* ORIGINAL BROOKLYN LOFT *,Entire home/apt,228,3,140
14314,56246,Greenpoint,Greenpoint Place...Has It All! ,Entire home/apt,144,2,234
14322,56284,Kips Bay,Beautiful Apartment in Manhattan!!!,Entire home/apt,200,7,257
14377,56512,Williamsburg,Williamsburg 1 bedroom Apartment,Entire home/apt,150,30,30
14991,59023,Lower East Side,"Great Location, Manhattan Bedroom!",Private room,110,5,301
15220,59734,Hell's Kitchen,Best Location in NYC! TIMES SQUARE!,Private room,69,2,294
15338,32169,Greenpoint,Room in Greenpoint Loft w/ Roof,Private room,49,4,320
15341,60049,SoHo,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt,180,30,154
15385,60252,Williamsburg,"Very, very cozy place",Private room,80,2,263
15396,60278,Chelsea,Sunny & Spacious Chelsea Apartment,Entire home/apt,375,180,180
