neighbourhood,neighbourhood_group,listing_id
Kensington,Brooklyn,2539
Midtown,Manhattan,2595
Harlem,Manhattan,3647
Clinton Hill,Brooklyn,3831
East Harlem,Manhattan,5022
Murray Hill,Manhattan,5099
Bedford-Stuyvesant,Brooklyn,5121
Hell's Kitchen,Manhattan,5178
Upper West Side,Manhattan,5203
Chinatown,Manhattan,5238
Upper West Side,Manhattan,5295
Hell's Kitchen,Manhattan,5441
South Slope,Brooklyn,5803
Upper West Side,Manhattan,6021
West Village,Manhattan,6090
Williamsburg,Brooklyn,6848
Fort Greene,Brooklyn,7097
Chelsea,Manhattan,7322
Crown Heights,Brooklyn,7726
East Harlem,Manhattan,7750
Williamsburg,Brooklyn,7801
Park Slope,Brooklyn,8024
Park Slope,Brooklyn,8025
Park Slope,Brooklyn,8110
Bedford-Stuyvesant,Brooklyn,8490
Windsor Terrace,Brooklyn,8505
Inwood,Manhattan,8700
Hell's Kitchen,Manhattan,9357
Inwood,Manhattan,9518
East Village,Manhattan,9657
Harlem,Manhattan,9668
Harlem,Manhattan,9704
Greenpoint,Brooklyn,9782
Harlem,Manhattan,9783
Bedford-Stuyvesant,Brooklyn,10452
South Slope,Brooklyn,10962
Bedford-Stuyvesant,Brooklyn,11452
Bushwick,Brooklyn,11708
Flatbush,Brooklyn,11943
Lower East Side,Manhattan,12048
East Village,Manhattan,12192
South Slope,Brooklyn,12299
Fort Greene,Brooklyn,12303
Upper West Side,Manhattan,12318
Harlem,Manhattan,12343
Prospect-Lefferts Gardens,Brooklyn,12627
Long Island City,Queens,12937
Bedford-Stuyvesant,Brooklyn,12940
Bedford-Stuyvesant,Brooklyn,13050
Fort Greene,Brooklyn,13394
Bedford-Stuyvesant,Brooklyn,13808
Upper West Side,Manhattan,14287
Williamsburg,Brooklyn,14290
Greenpoint,Brooklyn,14314
Kips Bay,Manhattan,14322
Williamsburg,Brooklyn,14377
Lower East Side,Manhattan,14991
Hell's Kitchen,Manhattan,15220
Greenpoint,Brooklyn,15338
SoHo,Manhattan,15341
Williamsburg,Brooklyn,15385
Chelsea,Manhattan,15396
Upper East Side,Manhattan,15711
Prospect Heights,Brooklyn,16326
Clinton Hill,Brooklyn,16338
Hell's Kitchen,Manhattan,16421
Park Slope,Brooklyn,16458
East Village,Manhattan,16580
Williamsburg,Brooklyn,16595
East Village,Manhattan,16821
East Harlem,Manhattan,16974
East Village,Manhattan,17037
Hell's Kitchen,Manhattan,17092
Washington Heights,Manhattan,17693
Clinton Hill,Brooklyn,17747
East Village,Manhattan,18127
Upper East Side,Manhattan,18152
Woodside,Queens,18198
Fort Greene,Brooklyn,18590
Chelsea,Manhattan,18728
Williamsburg,Brooklyn,18764
Harlem,Manhattan,19159
Lower East Side,Manhattan,19169
Flatbush,Brooklyn,19282
Lower East Side,Manhattan,19319
Brooklyn Heights,Brooklyn,19601
Williamsburg,Brooklyn,19812
East Village,Manhattan,20299
East Village,Manhattan,20300
Williamsburg,Brooklyn,20611
Bushwick,Brooklyn,20724
Prospect Heights,Brooklyn,20734
Clinton Hill,Brooklyn,20755
Prospect Heights,Brooklyn,20853
Williamsburg,Brooklyn,20913
Bushwick,Brooklyn,21293
