neighbourhood,neighbourhood_group,listing_id
Kensington,Brooklyn,2539
Midtown,Manhattan,2595
Harlem,Manhattan,3647
Clinton Hill,Brooklyn,3831
East Harlem,Manhattan,5022
Murray Hill,Manhattan,5099
Bedford-Stuyvesant,Brooklyn,5121
Hell's Kitchen,Manhattan,5178
Upper West Side,Manhattan,5203
Chinatown,Manhattan,5238
South Slope,Brooklyn,5803
West Village,Manhattan,6090
Williamsburg,Brooklyn,6848
Fort Greene,Brooklyn,7097
Chelsea,Manhattan,7322
Crown Heights,Brooklyn,7726
Park Slope,Brooklyn,8024
Windsor Terrace,Brooklyn,8505
Inwood,Manhattan,8700
East Village,Manhattan,9657
Greenpoint,Brooklyn,9782
Bushwick,Brooklyn,11708
Flatbush,Brooklyn,11943
Lower East Side,Manhattan,12048
Prospect-Lefferts Gardens,Brooklyn,12627
Long Island City,Queens,12937
Kips Bay,Manhattan,14322
SoHo,Manhattan,15341
Upper East Side,Manhattan,15711
Prospect Heights,Brooklyn,16326
Washington Heights,Manhattan,17693
Woodside,Queens,18198
Brooklyn Heights,Brooklyn,19601
Carroll Gardens,Brooklyn,23135
Gowanus,Brooklyn,26012
Flatlands,Brooklyn,31902
Cobble Hill,Brooklyn,32331
Flushing,Queens,32363
Boerum Hill,Brooklyn,38663
Sunnyside,Queens,39593
DUMBO,Brooklyn,40039
St. George,Staten Island,42882
Highbridge,Bronx,44096
Financial District,Manhattan,44221
Ridgewood,Queens,45910
Morningside Heights,Manhattan,45936
Jamaica,Queens,51850
Middle Village,Queens,53469
NoHo,Manhattan,55668
Ditmars Steinway,Queens,57166
Flatiron District,Manhattan,57754
Roosevelt Island,Manhattan,58467
Greenwich Village,Manhattan,60457
Little Italy,Manhattan,61167
East Flatbush,Brooklyn,62095
Tompkinsville,Staten Island,62452
Astoria,Queens,63360
Clason Point,Bronx,63588
Eastchester,Bronx,63610
Kingsbridge,Bronx,71812
Two Bridges,Manhattan,84905
Queens Village,Queens,100184
Rockaway Beach,Queens,105469
Forest Hills,Queens,132516
Nolita,Manhattan,141890
Woodlawn,Bronx,149777
University Heights,Bronx,169306
Gravesend,Brooklyn,169483
Gramercy,Manhattan,173742
Allerton,Bronx,182177
East New York,Brooklyn,189732
Theater District,Manhattan,205043
Concourse Village,Bronx,206071
Sheepshead Bay,Brooklyn,206957
Emerson Hill,Staten Island,214917
Fort Hamilton,Brooklyn,217580
Bensonhurst,Brooklyn,219066
Tribeca,Manhattan,221618
Shore Acres,Staten Island,225976
Sunset Park,Brooklyn,229874
Concourse,Bronx,230854
Elmhurst,Queens,246916
Brighton Beach,Brooklyn,253548
Jackson Heights,Queens,254131
Cypress Hills,Brooklyn,257568
St. Albans,Queens,258686
Arrochar,Staten Island,258838
Rego Park,Queens,267435
Wakefield,Bronx,267535
Clifton,Staten Island,310272
Bay Ridge,Brooklyn,319798
Graniteville,Staten Island,375249
Spuyten Duyvil,Bronx,385824
Stapleton,Staten Island,386555
Briarwood,Queens,389482
Ozone Park,Queens,391948
Columbia St,Brooklyn,391955
Vinegar Hill,Brooklyn,425784
Mott Haven,Bronx,444430
Longwood,Bronx,449680
Canarsie,Brooklyn,450009
