listing_name,neighbourhood,neighbourhood_group,price,availability_365
"Beautiful Queens Brownstone! - 5BR",Ridgewood,Queens,350,365
"3 floors of luxury!","Middle Village",Queens,265,365
"Charming & Cozy midtown loft any WEEK ENDS  !!!","Upper East Side",Manhattan,250,365
"*HAVEN LOFT - Entire Floor - Six Windows - Bricks*",Williamsburg,Brooklyn,275,362
"Skylit Midtown Castle",Midtown,Manhattan,225,355
"Quiet & Clean Retreat in the City","East Village",Manhattan,239,351
"Huge Chelsea Loft",Chelsea,Manhattan,500,348
"Beautiful, elegant 3 bed SOHO loft",SoHo,Manhattan,500,329
"Entire 2 Bedroom - Large & Sunny","Lower East Side",Manhattan,285,328
"Perfect for Your Parents + Garden","Fort Greene",Brooklyn,215,321
