listing_name,neighbourhood,price,availability_365
"Beautiful Queens Brownstone! - 5BR",Ridgewood,350,365
"3 floors of luxury!","Middle Village",265,365
"Charming & Cozy midtown loft any WEEK ENDS  !!!","Upper East Side",250,365
"*HAVEN LOFT - Entire Floor - Six Windows - Bricks*",Williamsburg,275,362
"Skylit Midtown Castle",Midtown,225,355
"Quiet & Clean Retreat in the City","East Village",239,351
"Huge Chelsea Loft",Chelsea,500,348
"Beautiful, elegant 3 bed SOHO loft",SoHo,500,329
"Entire 2 Bedroom - Large & Sunny","Lower East Side",285,328
"Perfect for Your Parents + Garden","Fort Greene",215,321
